symbol,date,news_volume,news_tone
ETHUSDT,2022-03-17,22,0.94797537024944756
ETHUSDT,2022-03-18,18,1.2327470843684016
ETHUSDT,2022-03-19,2,3.351897689768975
ETHUSDT,2022-03-20,11,2.2833612192316015
ETHUSDT,2022-03-21,31,0.71198372471658955
ETHUSDT,2022-03-22,26,0.84261191548049641
ETHUSDT,2022-03-23,27,0.84510067138810618
ETHUSDT,2022-03-24,47,0.74091458438177926
ETHUSDT,2022-03-25,25,1.1323317937140587
ETHUSDT,2022-03-26,25,2.5022685243216065
ETHUSDT,2022-03-27,24,0.744801482144475
ETHUSDT,2022-03-28,21,0.79732971673570885
ETHUSDT,2022-03-29,29,0.36617584265258168
ETHUSDT,2022-03-30,25,1.028932669188493
ETHUSDT,2022-03-31,44,2.83785264742493
ETHUSDT,2022-04-01,41,1.8199858541670357
ETHUSDT,2022-04-02,14,0.45530145746848305
ETHUSDT,2022-04-03,33,2.1654454909255372
ETHUSDT,2022-04-04,25,1.1903078119127692
ETHUSDT,2022-04-05,32,1.3242216945905603
ETHUSDT,2022-04-06,30,1.2410740766944512
ETHUSDT,2022-04-07,22,1.0290778679055534
ETHUSDT,2022-04-08,15,-0.052303984906321224
ETHUSDT,2022-04-09,13,0.971949350006983
ETHUSDT,2022-04-10,17,0.98718283369807369
ETHUSDT,2022-04-11,16,1.2046997031267817
ETHUSDT,2022-04-12,36,-0.722460118210539
ETHUSDT,2022-04-13,27,-3.2154555571309817
ETHUSDT,2022-04-14,54,0.9926192853244582
ETHUSDT,2022-04-15,37,-2.5405430260680975
ETHUSDT,2022-04-16,24,1.6803660645984841
ETHUSDT,2022-04-17,4,-0.41190561638525491
ETHUSDT,2022-04-18,17,0.26024826054368977
ETHUSDT,2022-04-19,23,0.49987486273490728
ETHUSDT,2022-04-20,29,0.57231932967813715
ETHUSDT,2022-04-21,20,0.91112712562566167
ETHUSDT,2022-04-22,23,0.67387098858235228
ETHUSDT,2022-04-23,6,0.58374706891804506
ETHUSDT,2022-04-24,3,0.30352072905697192
ETHUSDT,2022-04-25,34,1.5475326116461328
ETHUSDT,2022-04-26,41,2.901164148956267
ETHUSDT,2022-04-27,20,1.5166910214791502
ETHUSDT,2022-04-28,12,0.19525544094089659
ETHUSDT,2022-04-29,18,0.94006840721363849
